mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
4.4061655904,0.0281369016,0.0146404953,0.0007916852,0.0002143441,-24.6946083825,37.0889433041,1987.0960857681,4547.5431385319,4.4062554278,0.0147792703,19.4150868953,0.0002184268,5.0000000000,1.5822321238,1.8016602069,-0.6991577148,1.2243939986,0.9999796114,0.1367169036,large,174,A
4.6507370906,0.0120826653,0.0061336307,0.0001459908,0.0000376214,-6.5941159549,-6.3429702364,330.6854707738,49.2454718846,4.6507527860,0.0064911854,21.6295014766,0.0000421355,4.7853022858,0.0466933195,3.6445204016,-0.0848388672,1.8246366787,0.9999966252,0.3273103525,small,13,A
4.3453509312,0.0134983164,2.4621818146,0.0001822045,6.0623392881,-23.3436432658,-0.3521057697,1568.3678159981,-1.8759759919,4.3453718966,3.2144261562,18.8822569195,10.3325355134,4.7415082247,0.0028992584,3.6445204016,-5.0000000000,1.0929407738,0.9999951752,-0.6428660081,small,13,A
4.6498567364,0.0396860894,2.1112757606,0.0015749857,4.4574853375,-48.1960116521,-1.2673148592,2688.0390206850,-0.3937348824,4.6500260918,2.4102116284,21.6227426544,5.8091200939,4.7415082247,0.0466933195,2.2843104343,-5.0000000000,1.8236881944,0.9999635797,-0.4823635669,small,13,B
4.3996161887,0.0224451842,2.4896704076,0.0005037863,6.1984587386,-12.5368185545,0.1897399476,508.7749690419,-1.9639829232,4.3996734417,3.6987195253,19.3571263938,13.6805261271,4.4782860805,0.0466933195,3.4690389721,-5.0000000000,1.2096595486,0.9999869870,-0.7395361496,small,13,A
4.6518034210,0.0128180503,0.0121158130,0.0001643024,0.0001467929,0.5964016459,-2.9817951024,46.3251300024,9.9250177903,4.6518210810,0.0121262458,21.6394393697,0.0001470458,4.9169896542,0.0906399731,4.6098208563,-0.1287841797,1.8275367913,0.9999962036,-0.0414722141,small,13,B
4.3911669064,0.0376099305,2.1733321250,0.0014145069,4.7233725258,-45.7390904649,-1.1384612395,2261.4373388053,-0.7038564748,4.3913279662,2.5132019907,19.2837613068,6.3161842459,4.4782860805,0.0466933195,2.4159978027,-5.0000000000,1.1920597245,0.9999633232,-0.5021746971,small,13,A
4.6523483993,0.0113701095,2.1298943586,0.0001292794,4.5364499789,-0.6624647358,-1.2300969546,25.4701542880,-0.4867098560,4.6523622933,2.4394959571,21.6444749079,5.9511405248,4.8292489395,0.6169316691,4.5660267953,-5.0000000000,1.8289754725,0.9999970136,-0.4875628679,small,13,B
4.4317295581,0.0164801829,0.0120983356,0.0002715964,0.0001463697,-46.3887704219,4.8674837054,5890.9043670012,3068.3269938812,4.4317602002,0.0122827707,19.6404984722,0.0001508665,5.0000000000,1.0557878353,2.5475325785,-0.7431030273,1.2810833890,0.9999930858,0.1726442738,medium,44,A
4.6506644726,0.0369821492,1.3862208321,0.0013676794,1.9216081953,-58.9067875785,-3.0008243779,4015.1874134658,7.0068708350,4.6508115115,1.4484425197,21.6300477159,2.0979857328,4.7853022858,1.5822321238,1.8456068606,-5.0000000000,1.8256621969,0.9999683842,-0.2899481701,medium,44,B
