mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
3.2930136121,0.0059480738,0.0146398523,0.0000353796,0.0002143253,-4.7253333203,-2.2384358517,50.2031598384,3.0105950623,3.2930189840,0.0148846230,10.8439740290,0.0002215520,3.3373516037,0.0028992584,3.2496108890,-0.0410461426,0.0000841892,0.9999983687,-0.1806063192,small,13,A
3.2981661257,0.0157772789,0.0203810739,0.0002489225,0.0004153882,-18.0311716216,18.2585379212,1728.7652106592,1322.3178634116,3.2982038620,0.0207318963,10.8781487153,0.0004298115,3.8200018311,1.5822321238,1.6701254311,-0.5236816406,0.0002522856,0.9999885585,-0.1831867533,large,174,D
3.3061072603,0.0198017092,0.0035728142,0.0003921077,0.0000127650,0.9440915260,-7.4991783706,-1.1086911906,146.9465095031,3.3061665602,0.0044897391,10.9307373241,0.0000201578,3.3373516037,0.0466933195,3.2935575426,-0.0410461426,0.0004294063,0.9999820638,0.6055947221,small,13,B
3.3056204795,0.0196276438,0.0071334572,0.0003852444,0.0000508862,0.9837411547,-5.6687359421,-0.9683574416,32.1087066316,3.3056787501,0.0073429650,10.9275119992,0.0000539191,3.3373516037,0.0466933195,3.2496108890,-0.0410461426,0.0004168342,0.9999823726,0.2371696891,small,13,D
3.2944415705,0.0114909818,0.0173076736,0.0001320427,0.0002995556,-50.5863490050,26.1095961257,6557.7907840191,2369.8528265948,3.2944616107,0.0173097250,10.8534773042,0.0002996266,3.8639484848,1.6261787774,1.6701254311,-0.5236816406,0.0001629388,0.9999939170,-0.0153952803,large,174,F
3.2938641813,0.0067041324,0.0129281790,0.0000449454,0.0001671378,-36.2760518740,17.5777958147,8497.4522998696,2065.4522318968,3.2938710039,0.0129691453,10.8495861904,0.0001681987,3.9077425459,0.9680471206,2.0210882900,-0.5674743652,0.0000825937,0.9999979287,0.0794199312,medium,44,A
3.2722984899,0.0219617145,0.0149784236,0.0004823169,0.0002243532,-0.0650472072,2.1465901228,-1.9957688608,2.6078491552,3.2723721861,0.0382080528,10.7084197241,0.0014598553,3.2935575426,0.0028992584,3.2496108890,-0.0410461426,0.0012496906,0.9999774793,-0.9199555487,small,13,E
3.2977963503,0.0152524416,0.0125153399,0.0002326370,0.0001566337,-14.6593297751,45.1713799726,1659.5326243256,5186.7139332039,3.2978316217,0.0127378261,10.8756934053,0.0001622522,3.8639484848,1.4944914090,1.7139194922,-0.5236816406,0.0002374930,0.9999893047,0.1860862038,large,174,C
3.3018515532,0.0171834085,0.0043458058,0.0002952695,0.0000188860,1.5747100147,-6.7146353096,0.5164155707,97.7675708080,3.3018962656,0.0050671407,10.9025189491,0.0000256759,3.3373516037,0.0466933195,3.2496108890,-0.0410461426,0.0002986978,0.9999864586,0.5142428990,small,13,B
3.2955304191,0.0098707996,0.0186224585,0.0000974327,0.0003467960,-14.1168714972,36.9170632042,2594.2943034170,2748.8666557453,3.2955452016,0.0186473554,10.8606181758,0.0003477239,3.3812982574,1.4067506943,1.7139194922,-0.0848388672,0.0001174098,0.9999955144,-0.0516575690,medium,44,B
